iter	RMSE
156	3.447770017
157	3.431065895
158	3.396391748
159	3.370030803
160	3.332657069
161	3.320480042
162	3.287837362
163	3.252275201
164	3.210010078
165	3.184536243
166	3.160246789
167	3.117393234
168	3.087960354
169	3.073926829
170	3.04511973
171	3.020476682
172	3.003167246
173	2.981662468
174	2.951866173
175	2.921981201
176	2.904221943
177	2.886780093
178	2.869090464
179	2.84999762
180	2.818111034
181	2.797696146
182	2.781621278
183	2.769321906
184	2.734677755
185	2.709496293
186	2.69587557
187	2.675037234
188	2.645679838
189	2.632972769
190	2.617614214
191	2.594576304
192	2.569513302
193	2.547987752
194	2.523460874
195	2.511322077
196	2.488817148
197	2.471402338
198	2.443018969
199	2.428862791
200	2.402524076
201	2.375375763
202	2.35800456
203	2.337448207
204	2.32100722
205	2.306078178
206	2.277647139
207	2.257142822
208	2.234026233
209	2.216650357
210	2.196611002
211	2.182857109
212	2.166675633
213	2.153560837
214	2.135738079
215	2.111880173
216	2.091734554
217	2.078530291
218	2.059536351
219	2.048078871
220	2.035454066
221	2.016830358
222	2.001295097
223	1.980616384
224	1.958542311
225	1.944454414
226	1.919599707
227	1.8980395
228	1.879405603
229	1.86059988
230	1.839382792
231	1.824198839
232	1.80848377
233	1.79296293
234	1.781618223
235	1.767237274
236	1.751232506
237	1.734723481
238	1.722163114
239	1.705325364
240	1.685831946
241	1.678859201
242	1.66998937
243	1.649087554
244	1.633223895
245	1.618681556
246	1.60240818
247	1.58775502
248	1.572387565
249	1.559114704
250	1.544554877
251	1.536448914
252	1.523979997
253	1.507372379
254	1.501113833
255	1.494171824
256	1.484008848
257	1.47536019
258	1.462148818
259	1.45206317
260	1.440158569
261	1.430648148
262	1.415512169
263	1.404260812
264	1.39472734
265	1.388145009
266	1.377970122
267	1.370663483
268	1.358738369
269	1.347027976
270	1.333321676
271	1.321372602
272	1.309932407
273	1.293808828
274	1.281504727
275	1.271138826
276	1.262384128
277	1.253853767
278	1.246686589
279	1.235523269
280	1.224375315
281	1.215710868
282	1.203939447
283	1.19036974
284	1.184014045
285	1.176174337
286	1.162778675
287	1.15510891
288	1.143219388
289	1.134323638
290	1.123980494
291	1.11504962
292	1.103095138
293	1.094667436
294	1.084179871
295	1.078311648
296	1.070928544
297	1.060600524
298	1.052533018
299	1.042897642
300	1.030687871
301	1.019553114
302	1.009869703
303	1.00415014
304	0.9982374705
305	0.9925163335
306	0.9818078813
307	0.971766255
308	0.9638070642
309	0.9559083099
310	0.944510485
311	0.9351984706
312	0.9254824602
313	0.9153354798
314	0.9048054128
315	0.894711799
316	0.884512312
317	0.8741204554
318	0.86613052
319	0.8574676235
320	0.8505578297
321	0.8425999163
322	0.8354590322
323	0.8274455424
324	0.8192341391
325	0.8123471657
326	0.8058611746
327	0.7997309773
328	0.7937633236
329	0.7848756502
330	0.7773056823
331	0.7709653378
332	0.7635973201
333	0.7583362436
334	0.7497987982
335	0.747732358
336	0.7411147042
337	0.7334166281
338	0.7296689968
339	0.7226037995
340	0.7167510528
341	0.7099325917
342	0.7030486696
343	0.6991556922
344	0.6920340401
345	0.6868096979
346	0.6788477328
347	0.6745734907
348	0.6680537736
349	0.6632189431
350	0.6567909908
351	0.6537787213
352	0.6463159932
353	0.6391485908
354	0.6326017088
355	0.6279005555
356	0.6231333355
357	0.6155737993
358	0.6100903929
359	0.6034756873
360	0.5977643409
361	0.5945437182
362	0.5903466231
363	0.5839252668
364	0.5776619716
365	0.5713920869
366	0.5669682713
367	0.5620051463
368	0.5557432203
369	0.5507679516
370	0.5464845155
371	0.5419183082
372	0.537150669
373	0.5332322696
374	0.5294920771
375	0.5258724095
376	0.5213218036
377	0.5172834878
378	0.5127332182
379	0.5098756758
380	0.5054846764
381	0.5024812215
382	0.4988177981
383	0.4923795955
384	0.4878169654
385	0.4836324029
386	0.4805837458
387	0.4764429449
388	0.4727470235
389	0.4677360289
390	0.4623209165
391	0.4581770575
392	0.4535496308
393	0.4500958185
394	0.4481176663
395	0.4427166678
396	0.4406428546
397	0.4375863963
398	0.4329716669
399	0.4291740259
400	0.4250120221
401	0.4221094937
402	0.4175446455
403	0.4147414655
404	0.4116521338
405	0.410292683
406	0.4075565874
407	0.4044705254
408	0.4007982069
409	0.3982273268
410	0.3947807431
411	0.3902870373
412	0.38743304
413	0.3827656256
414	0.379354917
415	0.3756637633
416	0.3726834364
417	0.3699454588
418	0.3664707259
419	0.363342208
420	0.3607565346
421	0.3589598076
422	0.3551530501
423	0.3530806158
424	0.3494646575
425	0.346117174
426	0.3422181943
427	0.3397426174
428	0.3362966043
429	0.3331673379
430	0.3307282441
431	0.3279183979
432	0.3248635216
433	0.3220965155
434	0.3189301532
435	0.3159133236
436	0.3125498189
437	0.3101663593
438	0.3075129015
439	0.3059656623
440	0.3033935732
441	0.3006196955
442	0.2983499604
443	0.2959332243
444	0.2922172081
